NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.49135E-05,  3.03032E-04,  6.06568E-04,  9.48319E-04,  1.33093E-03,  1.75679E-03,  2.22780E-03,  2.74524E-03,  3.30945E-03,  3.91958E-03,  4.57322E-03,  5.26609E-03,  5.99167E-03,  6.74092E-03,  7.50207E-03,  8.26056E-03,  8.99921E-03,  9.69864E-03,  1.03381E-02,  1.08963E-02,  1.13532E-02,  1.16909E-02,  1.18955E-02,  1.19581E-02,  1.18758E-02,  1.16519E-02,  1.12956E-02,  1.08211E-02,  1.02466E-02,  9.59241E-03,  8.88008E-03,  8.13054E-03,  7.36327E-03,  6.59547E-03,  5.84168E-03,  5.11358E-03,  4.42007E-03,  3.76747E-03,  3.15986E-03,  2.59942E-03,  2.08677E-03,  1.62137E-03,  1.20174E-03,  8.25779E-04,  4.90948E-04,  1.94458E-04, -6.65996E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -4.10948E-04, -1.71999E-04,  1.02631E-04,  4.16417E-04,  7.72869E-04,  1.17544E-03,  1.62736E-03,  2.13148E-03,  2.69001E-03,  3.30421E-03,  3.97405E-03,  4.69779E-03,  5.47150E-03,  6.28863E-03,  7.13950E-03,  8.01101E-03,  8.88642E-03,  9.74545E-03,  1.05647E-02,  1.13186E-02,  1.19806E-02,  1.25251E-02,  1.29292E-02,  1.31748E-02,  1.32504E-02,  1.31522E-02,  1.28843E-02,  1.24588E-02,  1.18941E-02,  1.12135E-02,  1.04429E-02,  9.60917E-03,  8.73807E-03,  7.85311E-03,  6.97462E-03,  6.11928E-03,  5.30004E-03,  4.52638E-03,  3.80462E-03,  3.13841E-03,  2.52921E-03,  1.97678E-03,  1.47959E-03,  1.03520E-03,  6.40553E-04,  2.92228E-04, -1.33772E-05, -2.79901E-04, -5.10917E-04,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -8.56369E-04, -6.51207E-04, -4.11218E-04, -1.32436E-04,  1.89324E-04,  5.58388E-04,  9.79129E-04,  1.45581E-03,  1.99240E-03,  2.59228E-03,  3.25791E-03,  3.99041E-03,  4.78901E-03,  5.65051E-03,  6.56859E-03,  7.53321E-03,  8.52999E-03,  9.53991E-03,  1.05392E-02,  1.14996E-02,  1.23898E-02,  1.31765E-02,  1.38271E-02,  1.43121E-02,  1.46080E-02,  1.46996E-02,  1.45818E-02,  1.42602E-02,  1.37505E-02,  1.30766E-02,  1.22686E-02,  1.13594E-02,  1.03826E-02,  9.36997E-03,  8.34975E-03,  7.34574E-03,  6.37687E-03,  5.45732E-03,  4.59685E-03,  3.80146E-03,  3.07402E-03,  2.41493E-03,  1.82273E-03,  1.29467E-03,  8.27067E-04,  4.15727E-04,  5.61775E-05, -2.56119E-04, -5.25623E-04, -7.56620E-04, -9.53154E-04,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -1.12476E-03, -9.23831E-04, -6.85684E-04, -4.05695E-04, -7.89062E-05,  2.99921E-04,  7.36207E-04,  1.23541E-03,  1.80281E-03,  2.44325E-03,  3.16069E-03,  3.95776E-03,  4.83512E-03,  5.79069E-03,  6.81884E-03,  7.90949E-03,  9.04725E-03,  1.02107E-02,  1.13723E-02,  1.24984E-02,  1.35503E-02,  1.44865E-02,  1.52653E-02,  1.58488E-02,NA,NA,NA,  1.57884E-02,  1.51762E-02,  1.43704E-02,  1.34097E-02,  1.23361E-02,  1.11916E-02,  1.00153E-02,  8.84072E-03,  7.69564E-03,  6.60122E-03,  5.57255E-03,  4.61936E-03,  3.74685E-03,  2.95665E-03,  2.24765E-03,  1.61684E-03,  1.05986E-03,  5.71565E-04,  1.46395E-04, -2.21331E-04, -5.37211E-04, -8.06618E-04, -1.03461E-03, -1.22589E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -1.58351E-03, -1.42461E-03, -1.23113E-03, -9.98244E-04, -7.20629E-04, -3.92492E-04, -7.60605E-06,  4.40617E-04,  9.58988E-04,  1.55433E-03,  2.23320E-03,  3.00142E-03,  3.86355E-03,  4.82215E-03,  5.87684E-03,  7.02323E-03,  8.25173E-03,  9.54631E-03,  1.08834E-02,  1.22313E-02,  1.35501E-02,  1.47926E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.46285E-02,  1.33612E-02,  1.20217E-02,  1.06575E-02,  9.30873E-03,  8.00698E-03,  6.77554E-03,  5.63005E-03,  4.57958E-03,  3.62796E-03,  2.77499E-03,  2.01758E-03,  1.35069E-03,  7.68033E-04,  2.62704E-04, -1.72429E-04, -5.44415E-04, -8.60025E-04, -1.12562E-03, -1.34709E-03, -1.52982E-03, -1.67866E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -2.01934E-03, -1.90398E-03, -1.75754E-03, -1.57520E-03, -1.35155E-03, -1.08055E-03, -7.55543E-04, -3.69234E-04,  8.62269E-05,  6.19152E-04,  1.23812E-03,  1.95165E-03,  2.76783E-03,  3.69359E-03,  4.73393E-03,  5.89084E-03,  7.16186E-03,  8.53862E-03,  1.00051E-02,  1.15358E-02,  1.30950E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28504E-02,  1.12735E-02,  9.73062E-03,  8.25756E-03,  6.87925E-03,  5.61114E-03,  4.46093E-03,  3.43033E-03,  2.51664E-03,  1.71420E-03,  1.01546E-03,  4.11863E-04, -1.05541E-04, -5.45654E-04, -9.17039E-04, -1.22773E-03, -1.48514E-03, -1.69602E-03, -1.86644E-03, -2.00183E-03, -2.10699E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -2.35375E-03, -2.25511E-03, -2.12490E-03, -1.95783E-03, -1.74794E-03, -1.48848E-03, -1.17189E-03, -7.89780E-04, -3.32959E-04,  2.08509E-04,  8.45126E-04,  1.58768E-03,  2.44682E-03,  3.43234E-03,  4.55230E-03,  5.81173E-03,  7.21100E-03,  8.74383E-03,  1.03950E-02,  1.21379E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.18317E-02,  1.00766E-02,  8.42003E-03,  6.88778E-03,  5.49428E-03,  4.24486E-03,  3.13822E-03,  2.16841E-03,  1.32657E-03,  6.02202E-04, -1.59048E-05, -5.38994E-04, -9.77913E-04, -1.34284E-03, -1.64316E-03, -1.88735E-03, -2.08302E-03, -2.23695E-03, -2.35510E-03, -2.44269E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -2.76731E-03, -2.71578E-03, -2.63752E-03, -2.52761E-03, -2.38038E-03, -2.18930E-03, -1.94695E-03, -1.64489E-03, -1.27360E-03, -8.22524E-04, -2.80008E-04,  3.66516E-04,  1.13031E-03,  2.02491E-03,  3.06343E-03,  4.25757E-03,  5.61618E-03,  7.14337E-03,  8.83599E-03,  1.06807E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.03100E-02,  8.46186E-03,  6.77300E-03,  5.25555E-03,  3.91135E-03,  2.73510E-03,  1.71682E-03,  8.43842E-04,  1.02253E-04, -5.22111E-04, -1.04299E-03, -1.47331E-03, -1.82495E-03, -2.10862E-03, -2.33390E-03, -2.50926E-03, -2.64211E-03, -2.73892E-03, -2.80530E-03, -2.84610E-03,NA,NA,NA,NA,
NA,NA,NA,NA, -3.13335E-03, -3.10538E-03, -3.05138E-03, -2.96615E-03, -2.84367E-03, -2.67694E-03, -2.45789E-03, -2.17722E-03, -1.82435E-03, -1.38732E-03, -8.52749E-04, -2.05911E-04,  5.69087E-04,  1.48892E-03,  2.57040E-03,  3.82941E-03,  5.27937E-03,  6.92904E-03,  8.77958E-03,  1.08209E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.03875E-02,  8.34626E-03,  6.50414E-03,  4.86962E-03,  3.43984E-03,  2.20451E-03,  1.14883E-03,  2.55803E-04, -4.92280E-04, -1.11277E-03, -1.62205E-03, -2.03518E-03, -2.36572E-03, -2.62574E-03, -2.82587E-03, -2.97534E-03, -3.08218E-03, -3.15330E-03, -3.19463E-03, -3.21124E-03,NA,NA,NA,NA,
NA,NA,NA, -3.50354E-03, -3.52295E-03, -3.52206E-03, -3.49633E-03, -3.44038E-03, -3.34788E-03, -3.21143E-03, -3.02237E-03, -2.77065E-03, -2.44467E-03, -2.03111E-03, -1.51490E-03, -8.79143E-04, -1.05235E-04,  8.26808E-04,  1.93775E-03,  3.24811E-03,  4.77648E-03,  6.53715E-03,  8.53672E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.03411E-03,  6.04959E-03,  4.31134E-03,  2.81059E-03,  1.53113E-03,  4.52744E-04, -4.46364E-04, -1.18793E-03, -1.79262E-03, -2.27949E-03, -2.66573E-03, -2.96655E-03, -3.19529E-03, -3.36351E-03, -3.48118E-03, -3.55682E-03, -3.59772E-03, -3.61003E-03, -3.59900E-03, -3.56903E-03,NA,NA,NA,
